"id_coop","id_territoire"
"bordeaux1","bordeaux_t0000"
"bordeaux1","bordeaux_t0001"
"bordeaux2","bordeaux_t0014"
"bordeaux2","bordeaux_t0013"
"bordeaux3","bordeaux_t0014"
"bordeaux3","bordeaux_t0012"
"bordeaux4","bordeaux_t0014"
"bordeaux4","bordeaux_t0002"
"bordeaux5","bordeaux_t0003"
"bordeaux5","bordeaux_t0004"
"bordeaux5","bordeaux_t0005"
"bordeaux5","bordeaux_t0006"
"bordeaux5","bordeaux_t0007"
"bordeaux5","bordeaux_t0008"
"bordeaux5","bordeaux_t0009"
"bordeaux5","bordeaux_t0010"
"bordeaux5","bordeaux_t0011"
"brest1","brest_t0000"
"brest1","brest_t0001"
"brest1","brest_t0002"
"brest1","brest_t0003"
"brest1","brest_t0004"
"brest1","brest_t0005"
"brest1","brest_t0006"
"brest2","brest_t0007"
"brest2","brest_t0008"
"brest2","brest_t0009"
"brest3","brest_t0000"
"brest3","brest_t0010"
"brest4","brest_t0011"
"brest5","brest_t0000"
"brest5","brest_t0001"
"brest5","brest_t0002"
"brest5","brest_t0003"
"brest5","brest_t0004"
"brest5","brest_t0005"
"brest5","brest_t0006"
"brest6","brest_t0000"
"brest6","brest_t0007"
"brest6","brest_t0003"
"brest6","brest_t0004"
"brest6","brest_t0002"
"brest6","brest_t0001"
"brest6","brest_t0013"
"brest6","brest_t0014"
"brest7","brest_t0000"
"brest7","brest_t0001"
"brest7","brest_t0002"
"brest7","brest_t0003"
"brest7","brest_t0004"
"brest7","brest_t0005"
"brest7","brest_t0006"
"brest8","brest_t0000"
"brest8","brest_t0015"
"brest8","brest_t0007"
"brest8","brest_t0008"
"brest8","brest_t0012"
"brest8","brest_t0010"
"brest9","brest_t0000"
"brest9","brest_t0001"
"brest9","brest_t0002"
"brest9","brest_t0003"
"brest9","brest_t0004"
"brest9","brest_t0005"
"brest9","brest_t0006"
"clermont1","clermont_t0000"
"clermont1","clermont_t0001"
"clermont2","clermont_t0000"
"clermont2","clermont_t0002"
"clermont2","clermont_t0003"
"clermont2","clermont_t0004"
"clermont3","clermont_t0005"
"clermont3","clermont_t0006"
"clermont4","clermont_t0000"
"clermont4","clermont_t0007"
"clermont4","clermont_t0008"
"clermont4","clermont_t0003"
"clermont4","clermont_t0009"
"clermont4","clermont_t0010"
"clermont4","clermont_t0011"
"clermont4","clermont_t0012"
"clermont4","clermont_t0013"
"clermont5","clermont_t0003"
"clermont5","clermont_t0000"
"clermont5","clermont_t0014"
"clermont6","clermont_t0014"
"clermont6","clermont_t0001"
"clermont6","clermont_t0015"
"clermont7","clermont_t0003"
"clermont7","clermont_t0000"
"clermont7","clermont_t0005"
"clermont7","clermont_t0014"
"clermont7","clermont_t0004"
"dijon2","dijon_t0001"
"dijon2","dijon_t0002"
"dijon2","dijon_t0003"
"dijon2","dijon_t0004"
"dijon2","dijon_t0005"
"dijon2","dijon_t0006"
"dijon2","dijon_t0007"
"dijon2","dijon_t0008"
"dijon3","dijon_t0000"
"dijon3","dijon_t0008"
"dijon4","dijon_t0000"
"dijon4","dijon_t0008"
"dijon4","dijon_t0009"
"dijon4","dijon_t0003"
"dijon4","dijon_t0010"
"dijon4","dijon_t0011"
"dijon4","dijon_t0012"
"dijon5","dijon_t0000"
"dijon5","dijon_t0008"
"dijon5","dijon_t0009"
"dijon5","dijon_t0003"
"dijon5","dijon_t0010"
"dijon5","dijon_t0011"
"dijon5","dijon_t0012"
"dijon5","dijon_t0013"
"dijon5","dijon_t0014"
"dijon6","dijon_t0000"
"dijon6","dijon_t0009"
"dijon6","dijon_t0014"
"dijon7","dijon_t0014"
"dijon7","dijon_t0009"
"dijon7","dijon_t0013"
"dijon7","dijon_t0015"
"dijon7","dijon_t0008"
"dijon9","dijon_t0000"
"dijon9","dijon_t0016"
"dijon10","dijon_t0000"
"dijon10","dijon_t0017"
"dijon11","dijon_t0000"
"dijon11","dijon_t0017"
"dijon11","dijon_t0016"
"dijon12","dijon_t0000"
"dijon12","dijon_t0015"
"dijon12","dijon_t0009"
"dijon12","dijon_t0018"
"dijon15","dijon_t0000"
"dijon15","dijon_t0017"
"dijon15","dijon_t0019"
"dijon16","dijon_t0020"
"dijon16","dijon_t0016"
"dijon17","dijon_t0020"
"dijon17","dijon_t0016"
"dijon18","dijon_t0020"
"dijon18","dijon_t0016"
"dijon18","dijon_t0017"
"grenoble1","grenoble_t0000"
"grenoble1","grenoble_t0001"
"grenoble1","grenoble_t0002"
"grenoble2","grenoble_t0000"
"grenoble2","grenoble_t0001"
"grenoble2","grenoble_t0002"
"grenoble2","grenoble_t0003"
"grenoble2","grenoble_t0004"
"grenoble2","grenoble_t0005"
"grenoble3","grenoble_t0000"
"grenoble3","grenoble_t0001"
"grenoble3","grenoble_t0002"
"grenoble3","grenoble_t0006"
"grenoble3","grenoble_t0007"
"grenoble6","grenoble_t0000"
"grenoble6","grenoble_t0008"
"grenoble6","grenoble_t0005"
"grenoble6","grenoble_t0009"
"grenoble6","grenoble_t0002"
"grenoble6","grenoble_t0001"
"grenoble7","grenoble_t0000"
"grenoble7","grenoble_t0001"
"grenoble7","grenoble_t0002"
"grenoble7","grenoble_t0005"
"grenoble7","grenoble_t0009"
"grenoble7","grenoble_t0004"
"grenoble7","grenoble_t0003"
"grenoble8","grenoble_t0000"
"grenoble8","grenoble_t0001"
"grenoble8","grenoble_t0002"
"grenoble8","grenoble_t0005"
"grenoble8","grenoble_t0009"
"grenoble8","grenoble_t0004"
"grenoble8","grenoble_t0003"
"lille1","lille_t0000"
"lille1","lille_t0001"
"lille2","lille_t0000"
"lille2","lille_t0002"
"polem1","polem_t0129"
"polem1","polem_t0135"
"polem10","polem_t0008"
"polem10","polem_t0013"
"polem10","polem_t0020"
"polem11","polem_t0065"
"polem11","polem_t0109"
"polem12","polem_t0004"
"polem12","polem_t0029"
"polem12","polem_t0047"
"polem12","polem_t0052"
"polem12","polem_t0081"
"polem12","polem_t0086"
"polem12","polem_t0097"
"polem12","polem_t0108"
"polem13","polem_t0003"
"polem13","polem_t0053"
"polem13","polem_t0083"
"polem13","polem_t0095"
"polem13","polem_t0103"
"polem13","polem_t0106"
"polem13","polem_t0113"
"polem13","polem_t0120"
"polem14","polem_t0009"
"polem14","polem_t0012"
"polem14","polem_t0021"
"polem14","polem_t0038"
"polem14","polem_t0049"
"polem14","polem_t0057"
"polem14","polem_t0091"
"polem14","polem_t0098"
"polem14","polem_t0099"
"polem15","polem_t0001"
"polem15","polem_t0061"
"polem15","polem_t0089"
"polem15","polem_t0092"
"polem15","polem_t0094"
"polem15","polem_t0117"
"polem15","polem_t0118"
"polem16","polem_t0019"
"polem16","polem_t0044"
"polem16","polem_t0140"
"polem16","polem_t0142"
"polem17","polem_t0015"
"polem17","polem_t0032"
"polem17","polem_t0044"
"polem17","polem_t0060"
"polem17","polem_t0064"
"polem17","polem_t0072"
"polem17","polem_t0096"
"polem17","polem_t0122"
"polem18","polem_t0068"
"polem18","polem_t0100"
"polem18","polem_t0105"
"polem18","polem_t0111"
"polem18","polem_t0112"
"polem18","polem_t0115"
"polem18","polem_t0130"
"polem18","polem_t0132"
"polem19","polem_t0001"
"polem19","polem_t0014"
"polem19","polem_t0125"
"polem19","polem_t0143"
"polem19","polem_t0144"
"polem2","polem_t0024"
"polem2","polem_t0026"
"polem20","polem_t0014"
"polem20","polem_t0069"
"polem20","polem_t0075"
"polem20","polem_t0107"
"polem20","polem_t0143"
"polem21","polem_t0002"
"polem21","polem_t0016"
"polem22","polem_t0036"
"polem22","polem_t0042"
"polem22","polem_t0078"
"polem22","polem_t0093"
"polem22","polem_t0101"
"polem23","polem_t0041"
"polem23","polem_t0070"
"polem23","polem_t0071"
"polem23","polem_t0077"
"polem23","polem_t0080"
"polem23","polem_t0084"
"polem23","polem_t0085"
"polem23","polem_t0134"
"polem24","polem_t0141"
"polem25","polem_t0043"
"polem25","polem_t0050"
"polem25","polem_t0073"
"polem25","polem_t0139"
"polem25","polem_t0145"
"polem26","polem_t0007"
"polem26","polem_t0011"
"polem26","polem_t0040"
"polem26","polem_t0046"
"polem26","polem_t0137"
"polem3","polem_t0023"
"polem3","polem_t0059"
"polem3","polem_t0076"
"polem3","polem_t0102"
"polem3","polem_t0116"
"polem3","polem_t0128"
"polem4","polem_t0031"
"polem4","polem_t0090"
"polem5","polem_t0010"
"polem5","polem_t0028"
"polem5","polem_t0048"
"polem6","polem_t0022"
"polem6","polem_t0035"
"polem6","polem_t0039"
"polem6","polem_t0045"
"polem6","polem_t0055"
"polem6","polem_t0058"
"polem6","polem_t0062"
"polem6","polem_t0063"
"polem6","polem_t0066"
"polem6","polem_t0067"
"polem6","polem_t0074"
"polem6","polem_t0079"
"polem6","polem_t0087"
"polem6","polem_t0088"
"polem6","polem_t0110"
"polem6","polem_t0114"
"polem6","polem_t0121"
"polem6","polem_t0123"
"polem6","polem_t0124"
"polem6","polem_t0126"
"polem6","polem_t0127"
"polem6","polem_t0131"
"polem6","polem_t0133"
"polem6","polem_t0136"
"polem7","polem_t0005"
"polem7","polem_t0017"
"polem7","polem_t0030"
"polem7","polem_t0051"
"polem8","polem_t0018"
"polem8","polem_t0025"
"polem8","polem_t0027"
"polem8","polem_t0033"
"polem8","polem_t0082"
"polem8","polem_t0104"
"polem9","polem_t0006"
"polem9","polem_t0034"
"polem9","polem_t0037"
"polem9","polem_t0054"
"polem9","polem_t0056"
"polem9","polem_t0088"
"polem9","polem_t0119"
"polem9","polem_t0138"
"lyon3","lyon_t0000"
"lyon3","polem_t0043"
"lyon3","polem_t0050"
"lyon3","polem_t0073"
"lyon3","polem_t0139"
"lyon3","polem_t0145"
"lyon4","lyon_t0000"
"lyon4","polem_t0043"
"lyon4","polem_t0050"
"lyon4","polem_t0073"
"lyon4","polem_t0139"
"lyon4","polem_t0145"
"lyon5","lyon_t0000"
"lyon5","polem_t0043"
"lyon5","polem_t0050"
"lyon5","polem_t0073"
"lyon5","polem_t0139"
"lyon5","polem_t0145"
"lyon6","lyon_t0000"
"lyon6","polem_t0043"
"lyon6","polem_t0050"
"lyon6","polem_t0073"
"lyon6","polem_t0139"
"lyon6","polem_t0145"
"lyon9","lyon_t0000"
"lyon9","polem_t0043"
"lyon9","polem_t0050"
"lyon9","polem_t0073"
"lyon9","polem_t0139"
"lyon9","polem_t0145"
"lyon10","lyon_t0000"
"lyon10","polem_t0043"
"lyon10","polem_t0050"
"lyon10","polem_t0073"
"lyon10","polem_t0139"
"lyon10","polem_t0145"
"lyon7","lyon_t0000"
"lyon7","lyon_t0001"
"lyon7","lyon_t0002"
"lyon8","lyon_t0000"
"lyon8","lyon_t0003"
"lyon8","lyon_t0004"
"lyon13","lyon_t0000"
"lyon13","lyon_t0005"
"lyon13","lyon_t0006"
"lyon13","lyon_t0007"
"lyon13","lyon_t0008"
"lyon13","lyon_t0009"
"lyon13","lyon_t0010"
"lyon16","lyon_t0000"
"lyon16","lyon_t0012"
"lyon16","lyon_t0013"
"lyon16","lyon_t0014"
"lyon17","lyon_t0000"
"lyon17","lyon_t0015"
"lyon18","lyon_t0000"
"lyon18","lyon_t0021"
"lyon19","lyon_t0000"
"lyon19","lyon_t0021"
"lyon19","lyon_t0020"
"lyon19","lyon_t0022"
"metz1","metz_t0000"
"metz1","metz_t0001"
"metz1","metz_t0002"
"metz1","metz_t0003"
"metz1","metz_t0004"
"metz1","metz_t0005"
"metz1","metz_t0006"
"metz3","metz_t0000"
"metz3","metz_t0007"
"metz3","metz_t0006"
"metz3","metz_t0008"
"metz3","metz_t0009"
"metz3","metz_t0005"
"metz3","metz_t0003"
"metz4","metz_t0000"
"metz4","metz_t0007"
"metz4","metz_t0006"
"metz4","metz_t0008"
"metz4","metz_t0009"
"metz4","metz_t0005"
"metz4","metz_t0003"
"montpellier1","montpellier_t0000"
"montpellier1","montpellier_t0001"
"montpellier1","montpellier_t0002"
"montpellier1","montpellier_t0003"
"montpellier1","montpellier_t0004"
"montpellier1","montpellier_t0005"
"montpellier2","montpellier_t0000"
"montpellier2","montpellier_t0001"
"montpellier2","montpellier_t0002"
"montpellier2","montpellier_t0003"
"montpellier2","montpellier_t0004"
"montpellier2","montpellier_t0005"
"montpellier3","montpellier_t0000"
"montpellier3","montpellier_t0001"
"montpellier3","montpellier_t0002"
"montpellier3","montpellier_t0003"
"montpellier3","montpellier_t0004"
"montpellier3","montpellier_t0005"
"montpellier4","montpellier_t0000"
"montpellier4","montpellier_t0001"
"montpellier4","montpellier_t0002"
"montpellier4","montpellier_t0003"
"montpellier4","montpellier_t0004"
"montpellier4","montpellier_t0005"
"montpellier5","montpellier_t0000"
"montpellier5","montpellier_t0001"
"montpellier5","montpellier_t0002"
"montpellier5","montpellier_t0003"
"montpellier5","montpellier_t0004"
"montpellier5","montpellier_t0005"
"montpellier6","montpellier_t0000"
"montpellier6","montpellier_t0006"
"montpellier8","montpellier_t0000"
"montpellier8","montpellier_t0007"
"montpellier8","montpellier_t0008"
"montpellier8","montpellier_t0003"
"montpellier9","montpellier_t0000"
"montpellier9","montpellier_t0009"
"orleans2","orleans_t0001"
"orleans2","orleans_t0002"
"orleans2","orleans_t0003"
"orleans8","orleans_t0000"
"orleans8","orleans_t0004"
"orleans8","orleans_t0005"
"rennes2","rennes_t0000"
"rennes2","rennes_t0001"
"rouen1","rouen_t0000"
"rouen1","rouen_t0001"
"rouen2","rouen_t0000"
"rouen2","rouen_t0001"
"rouen2","rouen_t0002"
"rouen2","rouen_t0003"
"rouen3","rouen_t0000"
"rouen3","rouen_t0002"
"stetienne3","stetienne_t0000"
"stetienne3","stetienne_t0001"
"stetienne8","stetienne_t0000"
"stetienne8","stetienne_t0001"
"stetienne9","stetienne_t0000"
"stetienne9","stetienne_t0001"
"stetienne10","stetienne_t0000"
"stetienne10","stetienne_t0002"
"stetienne12","stetienne_t0000"
"stetienne12","stetienne_t0001"
"strasbourg1","strasbourg_t0000"
"strasbourg1","strasbourg_t0001"
"strasbourg2","strasbourg_t0000"
"strasbourg2","strasbourg_t0001"
"strasbourg3","strasbourg_t0000"
"strasbourg3","strasbourg_t0001"
"strasbourg4","strasbourg_t0000"
"strasbourg4","strasbourg_t0001"
"strasbourg5","strasbourg_t0000"
"strasbourg5","strasbourg_t0001"
"toulon1","toulon_t0001"
"toulon1","toulon_t0002"
"toulon1","toulon_t0003"
"toulon1","toulon_t0000"
"toulouse2","toulouse_t0000"
"toulouse2","montpellier_t0000"
"toulouse3","toulouse_t0000"
"toulouse3","toulouse_t0001"
"toulouse4","toulouse_t0000"
"toulouse4","toulouse_t0002"
"toulouse5","toulouse_t0000"
"toulouse5","toulouse_t0003"
"toulouse6","toulouse_t0004"
"toulouse6","toulouse_t0000"
"toulouse7","toulouse_t0000"
"toulouse7","toulouse_t0005"
"tours1","tours_t0000"
"tours1","tours_t0001"
"tours2","tours_t0000"
"tours2","tours_t0002"
"tours3","tours_t0000"
"tours3","tours_t0003"
"tours4","tours_t0000"
"tours4","tours_t0004"
"tours5","tours_t0000"
"tours5","tours_t0005"
"tours6","tours_t0000"
"tours6","tours_t0006"
"tours7","tours_t0000"
"tours7","tours_t0007"
"tours8","tours_t0000"
"tours8","tours_t0008"
"tours9","tours_t0000"
"tours9","tours_t0009"
"tours10","tours_t0000"
"tours10","tours_t0010"
